FD_SRC_ID;FD_SRC_COD;FD_SRC_NME;FD_SRC_NMF
0.00000;0.00000;FOODS BASED ON DATA FROM USDA: NO CHANGES;ALIMENTS BASÉS SUR LE USDA: AUCUNE MODIFICATION APPORTÉE
1.00000;1.00000;FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS CHANGED TO MEET CANADIAN REGULATIONS;ALIMENT BASÉ SUR LE USDA: CERTAINS ÉLÉMENTS NUTRITIFS ONT ÉTÉ MODIFIÉS POUR SE CONFORMER À LA RÉGLEMENTATION CANADIENNE
3.00000;3.00000;FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS ANALYZED IN THE CANADIAN PRODUCT;ALIMENT BASÉ SUR LE USDA: CERTAINS ÉLÉMENTS NUTRITIFS ONT ÉTÉ ANALYSÉS DANS LE PRODUIT CANADIEN
4.00000;4.00000;FOOD BASED ON DATA FROM USDA: SOME NUTRIENTS CALCULATED IN THE CANADIAN PRODUCT;ALIMENT BASÉ SUR LE USDA: CERTAINS ÉLÉMENTS NUTRITIFS ONT ÉTÉ CALCULÉS DANS LE PRODUIT CANADIEN
6.00000;6.00000;FOOD BASED ON DATA FROM USDA: SOME VALUES SUPPLIED BY MANUFACTURERS OF THE CANADIAN PRODUCT;ALIMENT BASÉ SUR LE USDA: CERTAINES VALEURS ONT ÉTÉ FOURNIES PAR LE MANUFACTURIER DU PRODUIT CANADIEN
9.00000;9.00000;DATA SUPPLIED BY AN INTERNATIONAL DATABASE OTHER THAN USDA;DONNÉES PROVENANT D'UNE BASE DE DONNÉES AUTRE QUE LE USDA
20.00000;20.00000;FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, BUT NOT FOUND IN THE USDA: NO CHANGES FROM NUTRITION CANADA SURVEY (1970-1972);ALIMENT DISPONIBLE SUR LE MARCHÉ CANADIEN, MAIS NON RETROUVÉ DANS LE USDA: AUCUNE MODIFICATION À LA BASE DE DONNÉES DE L'ENQUÊTE NATIONALE DE NUTRITION CANADA (1970-1972)
23.00000;23.00000;FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, MAJOR NUTRIENTS ANALYZED IN THE CANADIAN PRODUCT;ALIMENT DISPONIBLE SUR LE MARCHÉ CANADIEN, LA VALEUR DES PRICIPAUX ÉLÉMENTS NUTRITIFS  A ÉTÉ ANALYSÉE DANS LE PRODUIT CANADIEN
24.00000;24.00000;FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, BUT NOT FOUND IN USDA: MAJOR NUTRIENTS CALCULATED IN THE CANADIAN PRODUCT;ALIMENT DISPONIBLE SUR LE MARCHÉ CANADIEN, MAIS NON RETROUVÉ DANS LE USDA: LA VALEUR DES PRINCIPAUX ÉLÉMENTS NUTRITIFS A ÉTÉ CALCULÉE DANS LE PRODUIT CANADIEN
26.00000;26.00000;FOOD AVAILABLE IN THE CANADIAN FOOD SUPPLY, BUT NOT FOUND IN USDA: NUTRIENT VALUES SUPPLIED BY MANUFACTURERS OF THE CANADIAN PRODUCT;ALIMENT DISPONIBLE SUR LE MARCHÉ CANADIEN, MAIS NON RETROUVÉ DANS LE USDA: LA VALEUR DES ÉLÉMENTS NUTRITIFS A ÉTÉ FOURNIE PAR LES MANUFACTURIERS DU PRODUIT
28.00000;28.00000;TRADITIONAL FOOD;ALIMENT TRADITIONNEL
29.00000;10.00000;FOOD BASED ON DATA FROM USDA: SOME NUTRIENT ANALYZED IN THE CANADIAN PRODUCT.  FOOD HAS BEEN DELETED FROM USDA;ALIMENT BASÉ SUR LE USDA: LA VALEUR DE CERTAINS ÉLÉMENTS NUTRITIFS A ÉTÉ ANALYSÉE DANS LE PRODUIT CANADIEN.  ALIMENT RETIRÉ DE L'USDA.
30.00000;11.00000;FOOD BASED ON DATA FROM USDA: NO CHANGES.  FOOD HAS BEEN DELETED FROM USDA;ALIMENT BASÉ SUR LE USDA: AUCUNE MODIFICATION APPORTÉE.  ALIMENT RETIRÉ DE L'USDA
35.00000;12.00000;FOOD BASED ON DATA FROM USDA: INFORMATION FROM USDA SURVEY FILES;ALIMENT BASÉ SUR LE USDA: INFORMATION PROVIENT DES FICHIERS DES ENQUÊTES
36.00000;35.00000;CNF RECIPE COMPILATION;COMPILATION DE RECETTES FCEN
37.00000;36.00000;Foods that are only Ingredients;Les aliments considérés comme des ingrédients seulement
38.00000;37.00000;CNF Sampling and Analysis Program;Programme d'échantillonage et d'analyse du FCÉN
