REFUSE_ID;REFUSE_NME;REFUSE_NMF
750.00000;total refuse;portion non comestible totale
751.00000;bone;os
752.00000;skin;peau (pelure)
753.00000;shell + membrane;coquille et membrane
754.00000;tough stems, flower heads + trimmings;tiges coriaces, boutons de fleurs
758.00000;separable fat;gras séparable
759.00000;skin and seperable fat;peau et gras séparable
760.00000;handling loss;pertes dues aux manipulations
777.00000;fat and valves;gras et valvules
778.00000;cartilage and connective tissue;cartilage et tissu conjonctif
779.00000;skin and connective tissue;peau et tissu conjonctif
780.00000;bone and skin;os et peau
781.00000;connective tissue;tissu conjonctif
782.00000;bloodclots and membrane;caillots sanguins et membrane
783.00000;thaw juice and trim;liquide de décongelation et parures
784.00000;bone and hard tissue;os et tissus durs
785.00000;fat;gras
786.00000;bone and tendon;os et tendons
802.00000;connective tissue, fat and veins;tissu conjonctif, gras et veines
803.00000;connective tissue and veins;tissu conjonctif et veines
804.00000;seeds;pépins/noyaux
805.00000;stems;queues/tiges
806.00000;pits;noyaux
807.00000;seeds and skin;noyau (pépins) et peau (pelure)
808.00000;core and stem;noyau et queue (tige)
809.00000;core;noyau
810.00000;pits and stems;noyaux et tiges (queues)
811.00000;peel, seeds, core and membrane;pelure, pépins, noyaux et membrane
812.00000;husk;enveloppe -- écale
813.00000;seeds, stem and blossom end;pépins, tige et fleur
815.00000;peel;pelure
816.00000;peel and seeds;pelure et pépins
817.00000;shells and seeds;écailles et noyaux
818.00000;cavity contents;contenu cavité
819.00000;rind;zeste / pelure / écorce
820.00000;peel and navel;pelure et navel
821.00000;shells / husks;enveloppes/ écales
822.00000;calyx;calice
823.00000;skin and stems;pelure et tige (queue)
824.00000;seeds, skin and bud;pépins, pelure et bouton
825.00000;seeds, skin and membrane;pépins, pelure et membrane
826.00000;core, seeds and parings;noyau, pépins et épluchures
827.00000;caps and pits;capuchons et noyaux
828.00000;seed pods and stem;pépins et tiges (queues)
829.00000;pods and seeds;gousses et graines
830.00000;rind, seeds and cutting loss;pelure, noyaux et pertes/manipulations
831.00000;stems and spoiled berries;queues et baies gâtées
832.00000;cutting loss;pertes/manipulations
833.00000;pits and skin;noyaux et pelure
834.00000;crown;couronne
835.00000;parings;épluchures
836.00000;caps, stems and spoiled berries;capuchons, queues et baies gâtées
837.00000;ends;bouts
838.00000;leaves;feuilles
839.00000;caps and stems;capuchons et queues
840.00000;shells and skins;écales et pelures
841.00000;shells, skin and water;écales, peau et eau
842.00000;liquid;liquide
843.00000;soft shells;écales molles
857.00000;hard seed coat;couche dure des noyaux
870.00000;skin and sprout;pelure et germe
919.00000;tough stems and leaves;pédoncules (tiges) coriaces et feuilles
920.00000;pods;gousses
925.00000;wing tip;pointe d'aile
926.00000;bone and wing tip;os et pointe d'aile
927.00000;giblets;abattis
928.00000;neck;cou
929.00000;cavity fat;gras de la cavité
930.00000;tail;queue
936.00000;external fat;gras externe
937.00000;internal fat;gras interne
956.00000;roots, old / bruised leaves;racines, feuilles vieilles / endommagées
1006.00000;crown, tops and scrapings;collet,  fanes et pelures
1105.00000;outer leaves, core and trimmings;feuilles extérieures, noyau et parures
1106.00000;trimmings;parures
1147.00000;sheath;enveloppe
1148.00000;pods and imperfect beans;cosses et fèves imparfaites
1149.00000;stems, bruised and old leaves;tiges, feuilles/vieilles endommagées
1150.00000;skin, root and tips;pelure, racine et bouts
1151.00000;leaves, stem ends, peels;feuilles, bouts de la tige, pelure
1155.00000;base and damaged leaves;base et feuilles endommagées
1156.00000;outer leaves and root base;feuilles extérieures et base de la racine
1157.00000;end and stem;bouts et tige
1158.00000;root base and core;base de la racine et noyau
