FD_ID;YLD_ID;YLD_AMT;CF_DT_ENT
57.00000;985.00000;21.95900;12.08.2004
57.00000;1391.00000;1.31800;12.08.2004
66.00000;985.00000;33.47000;12.08.2004
67.00000;985.00000;25.34000;12.08.2004
78.00000;985.00000;;26.10.2004
80.00000;985.00000;;26.10.2004
115.00000;993.00000;24.30300;12.08.2004
126.00000;940.00000;68.90000;04.07.2001
127.00000;940.00000;31.07600;04.07.2001
134.00000;985.00000;24.00000;12.08.2004
555.00000;464.00000;10.46000;01.05.1997
556.00000;682.00000;102.29000;30.10.2006
556.00000;686.00000;339.50000;28.10.2003
556.00000;1395.00000;1026.67000;28.10.2003
557.00000;682.00000;67.02000;30.10.2006
557.00000;686.00000;233.69000;28.10.2003
557.00000;1395.00000;706.67000;28.10.2003
558.00000;682.00000;70.54000;31.10.2006
558.00000;686.00000;225.97000;28.10.2003
558.00000;1395.00000;683.33000;28.10.2003
559.00000;682.00000;74.07000;01.11.2006
559.00000;686.00000;248.01600;28.10.2003
559.00000;1395.00000;750.00000;28.10.2003
560.00000;686.00000;304.23300;28.10.2003
561.00000;682.00000;102.29000;30.10.2006
561.00000;686.00000;309.00000;02.10.2003
561.00000;1398.00000;932.00000;02.10.2003
562.00000;682.00000;67.02000;30.10.2006
562.00000;686.00000;207.00000;02.10.2003
563.00000;682.00000;70.54000;31.10.2006
563.00000;686.00000;196.00000;02.10.2003
563.00000;1398.00000;598.00000;02.10.2003
564.00000;682.00000;74.07000;01.11.2006
564.00000;686.00000;221.00000;02.10.2003
565.00000;686.00000;217.00000;02.10.2003
565.00000;1398.00000;658.00000;02.10.2003
566.00000;686.00000;171.00000;02.10.2003
566.00000;1398.00000;516.00000;02.10.2003
566.00000;1644.00000;67.01900;01.11.2006
567.00000;682.00000;77.60100;30.10.2006
567.00000;686.00000;161.00000;02.10.2003
567.00000;1398.00000;486.00000;02.10.2003
568.00000;682.00000;77.60100;30.10.2006
568.00000;686.00000;173.00000;02.10.2003
568.00000;1398.00000;524.00000;02.10.2003
569.00000;686.00000;126.00000;02.10.2003
570.00000;686.00000;36.00000;02.10.2003
571.00000;464.00000;0.75000;01.05.1997
571.00000;686.00000;25.00000;02.10.2003
572.00000;686.00000;14.00000;02.10.2003
573.00000;686.00000;15.43200;01.05.1997
574.00000;686.00000;12.12500;01.05.1997
575.00000;683.00000;59.96400;01.11.2006
576.00000;686.00000;1.98400;01.05.1997
577.00000;683.00000;45.85500;01.11.2006
578.00000;686.00000;11.02300;01.05.1997
579.00000;683.00000;63.49200;01.11.2006
580.00000;686.00000;127.86600;01.05.1997
581.00000;682.00000;74.07000;31.10.2006
581.00000;686.00000;124.55900;01.05.1997
582.00000;682.00000;74.07400;31.10.2006
582.00000;686.00000;85.97900;01.05.1997
583.00000;682.00000;67.01900;31.10.2006
583.00000;686.00000;87.08100;01.05.1997
584.00000;682.00000;67.02000;01.11.2006
584.00000;686.00000;99.20600;01.05.1997
585.00000;686.00000;176.36700;01.05.1997
586.00000;682.00000;74.07000;31.10.2006
586.00000;686.00000;184.08300;01.05.1997
587.00000;682.00000;67.02000;30.10.2006
587.00000;686.00000;121.25200;01.05.1997
588.00000;682.00000;70.54700;31.10.2006
588.00000;686.00000;111.33200;01.05.1997
589.00000;682.00000;77.60100;01.11.2006
589.00000;686.00000;121.25200;01.05.1997
590.00000;686.00000;97.00200;01.05.1997
591.00000;686.00000;70.54700;01.05.1997
591.00000;1644.00000;63.49200;01.11.2006
592.00000;682.00000;77.60100;30.10.2006
592.00000;686.00000;70.54700;01.05.1997
593.00000;682.00000;77.60100;30.10.2006
593.00000;686.00000;78.26300;01.05.1997
594.00000;686.00000;120.15000;01.05.1997
595.00000;686.00000;100.30900;01.05.1997
595.00000;1644.00000;67.01900;01.11.2006
596.00000;682.00000;77.60100;30.10.2006
596.00000;686.00000;89.28600;01.05.1997
597.00000;682.00000;77.60100;30.10.2006
597.00000;686.00000;94.79700;01.05.1997
598.00000;686.00000;79.36500;01.05.1997
598.00000;1642.00000;67.01900;31.10.2006
599.00000;686.00000;48.50100;01.05.1997
599.00000;1642.00000;42.32800;31.10.2006
600.00000;686.00000;38.58000;01.05.1997
600.00000;1643.00000;38.80000;01.11.2006
601.00000;682.00000;74.07000;31.10.2006
601.00000;686.00000;92.59300;01.05.1997
602.00000;682.00000;74.07400;31.10.2006
602.00000;686.00000;65.03500;01.05.1997
603.00000;686.00000;57.31900;01.05.1997
603.00000;1644.00000;63.49200;01.11.2006
604.00000;686.00000;47.39900;01.05.1997
604.00000;1642.00000;63.49200;01.11.2006
605.00000;686.00000;31.96600;01.05.1997
605.00000;1642.00000;52.91000;01.11.2006
606.00000;686.00000;27.55700;01.05.1997
606.00000;1642.00000;49.38300;01.11.2006
607.00000;686.00000;111.33200;01.05.1997
608.00000;686.00000;104.71800;01.05.1997
608.00000;1642.00000;67.01900;01.11.2006
609.00000;686.00000;73.85400;01.05.1997
609.00000;1642.00000;49.38300;01.11.2006
610.00000;686.00000;76.05800;01.05.1997
610.00000;1642.00000;49.38300;01.11.2006
611.00000;686.00000;82.67200;01.05.1997
611.00000;1642.00000;52.91000;01.11.2006
612.00000;686.00000;85.97900;01.05.1997
613.00000;686.00000;61.72800;01.05.1997
613.00000;1642.00000;67.01900;01.11.2006
614.00000;686.00000;62.83100;01.05.1997
614.00000;1643.00000;70.54700;01.11.2006
615.00000;686.00000;66.13800;01.05.1997
615.00000;1643.00000;45.85500;02.11.2006
616.00000;686.00000;16.53400;01.05.1997
617.00000;686.00000;17.63700;01.05.1997
617.00000;1642.00000;67.01900;31.10.2006
618.00000;686.00000;12.12500;01.05.1997
618.00000;1642.00000;45.85500;31.10.2006
619.00000;686.00000;12.12500;01.05.1997
619.00000;1642.00000;45.85500;01.11.2006
620.00000;686.00000;6.61400;01.05.1997
621.00000;686.00000;7.71600;01.05.1997
621.00000;1643.00000;38.80000;01.11.2006
622.00000;686.00000;5.51100;01.05.1997
622.00000;1643.00000;38.80000;01.11.2006
623.00000;682.00000;74.07000;31.10.2006
623.00000;686.00000;57.31900;01.05.1997
624.00000;682.00000;67.02000;30.10.2006
624.00000;686.00000;41.88700;01.05.1997
625.00000;686.00000;34.17100;01.05.1997
625.00000;1644.00000;67.01900;01.11.2006
