YLD_ID;YLD_NME;YLD_NMF
455.00000;amount to make 100ml;quantité requise pour préparer  100ml
457.00000;yield from 1 coconut;rendement d'une noix de coco
458.00000;yield from 1 ear;rendement d'un épi
460.00000;yield from 1 fruit;rendement d'un fruit
461.00000;yield from 1 fruit (6.7cm dia);rendement d'un fruit (6.7cm dia)
463.00000;yield from 1331g bird;rendement d'une volaille de 1331g
464.00000;yield from 1512g bird;rendement d'une volaille de 1512g
465.00000;yield from 2068g bird;rendement d'une volaille de 2068g
466.00000;yield from 2949g bird;rendement d'une volaille de 2949g
470.00000;yield from 7015g bird;rendement d'une volaille de 7015g
642.00000;1 crayfish with shell (30g);1 écrevisse avec coquille (30g)
643.00000;1 package (255g);1 paquet (255g)
644.00000;1 package, dry (10.8g);1 paquet, sec (10.8g)
645.00000;1 package, dry (156g);1 paquet, sec (156g)
646.00000;1 package, dry (2.5g);1 paquet, sec (2.5g)
649.00000;1 package, dry (21.3g);1 paquet, sec (21.3g)
650.00000;1 package, dry (21g);1 paquet, sec (21g)
651.00000;1 package, dry (22g);1 paquet, sec (22g)
652.00000;1 package, dry (23g);1 paquet, sec (23g)
653.00000;1 package, dry (24.8g);1 paquet, sec (24.8)
654.00000;1 package, dry (25g);1 paquet, sec (25g)
655.00000;1 package, dry (26g);1 paquet, sec (26g)
656.00000;1 package, dry (27g);1 paquet, sec (27g)
659.00000;1 package, dry (57g);1 paquet, sec (57g)
664.00000;1 raw chicken (1511g);1 poulet cru (1511g)
665.00000;1 raw chicken (1977g);1 poulet cru (1977g)
666.00000;1 raw chicken (864g);1 poulet cru (864g)
670.00000;1 raw crab;1 crabe cru
671.00000;1 raw leg;1 cuisse crue
672.00000;1 raw lobster;1 homard/langouste cru
673.00000;1 raw patty (27g);1 boulette crue (27g)
674.00000;1 raw patty (56g);1 boulette crue (56g)
675.00000;1 raw patty (65g);1 boulette crue (65g)
680.00000;100ml dry;100ml sec
681.00000;100g as purchased;100g tel qu'acheté
682.00000;100g raw boneless;100g cru, désossé
683.00000;100g raw as purchased;100g  acheté, cru
684.00000;100g raw fillet;100g filet cru
686.00000;500g of raw whole bird, as purchased (including bones);500g cru, volaille entière, à l'achat (avec os)
797.00000;1 raw link (28g);1 saucisse crue (28g)
921.00000;amount to make 125ml;quantité requise pour préparer 125ml
922.00000;100g raw part, as purchased (including bones);100g cru, tel qu'acheté (incluant os)
940.00000;100g whole egg liquid yields;100g - oeuf entier liquide
985.00000;amount to make 250ml;quantité requise pour préparer 250ml
993.00000;amount to make 250ml of reconstituted milk;quantité requise pour préparer 250ml de lait reconstitué
1044.00000;1 fruit yields;1 fruit, rendement
1045.00000;1 wedge yields;1 quartier donne
1327.00000;250ml with shell, yields;250ml avec écales - rendement
1342.00000;amount to make 125ml elbows;quantité requise pour préparer 125ml coudes
1365.00000;amount to make 1 medium;quantité requise pour préparer 1 moyenne
1371.00000;amount to make 1 small;quantité requise pour préparer 1 petit
1372.00000;amount to make 2 small;quantité pour préparer 2 petits
1390.00000;amount to make 60ml;quantité requise pour préparer 60ml
1391.00000;amount to make 15ml;quantité requise pour préparer 15ml
1392.00000;amount to make 30ml;quantité requise pour préparer 30ml
1395.00000;1 raw chicken (1512g);1 poulet cru (1512g)
1398.00000;1 raw chicken (1358g);1 poulet cru (1358g)
1502.00000;amount to make 55g;quantité requise pour préparer 55g
1504.00000;amount to make 100g prepared;quantité requise pour préparer 100g
1506.00000;amount to make 1/2 slice;quantité requise pour préparer 1/2 tranche
1512.00000;amount to make 80g;quantité requise  pour préparer 80g
1513.00000;amount to make 1/12 cake;quantité requise pour préparer 1/12 gâteau
1514.00000;amount to make 1/9 cake;quantité requise pour préparer 1/9 gâteau
1516.00000;amount to make 1/8 cake;quantité requise pour préparer 1/8 gâteau
1519.00000;amount to make 1 cookie;quantité requise pour préparer 1 biscuit
1520.00000;amount to make 40g;quantité requise pour préparer 40g
1523.00000;amount to make 2 cookies;quantité requise pour préparer 2 biscuits
1524.00000;amount to make 30g;quantité pour préparer 30g
1548.00000;amount to make 1/2 medium muffin;quantité requise pour préparer 1/2 muffin moyen
1549.00000;amount to make 55g muffin;quantité requise pour préparer muffin de 55g
1551.00000;amount to make 75g pancake;quantité requise pour préparer crêpe de 75g
1553.00000;amount to make 1/6 crust (20cm dia);quantité requise pour préparer 1/6 croûte (20cm dia)
1554.00000;amount to make 1 popover;quantité requise pour préparer 1 popover
1582.00000;amount to make 175ml cooked;quantité requise pour préparer 175ml cuit
1584.00000;amount to make 140g;quantité requise pour préparer 140g
1588.00000;amount to make 105ml;quantité requise pour préparer  105ml
1591.00000;amount to make 175ml;quantité requise pour préparer 175ml
1627.00000;250ml raw, yields;250ml cru, rendement
1642.00000;100g raw with bones (yield after cooking bone removed);100g cru avec os (rendement après cuisson, désossé)
1643.00000;100g raw skinless with bones (yield after cooking bone removed);100g cru, sans peau, avec os (rendement après cuisson, désossé)
1644.00000;100g raw skinless boneless (yield after cooking);100g cru, sans peau, désossé (rendement après cuisson)
502455.00000;100g raw as purchased, with skin, (including bone);100g cru, à l'achat, avec peau (incluant os)
